id,created_at,text,screen_name,description,location,followers_count,statuses_count,retweet_count
"793442835819180033","2016-11-01","intel trump s russian tie given fbi oper trump s former campaign manag manafort repr","Coco_Wms","uniteblu lifelong yellow dog democrat bookworm polit histori junki love art form","TX","6410","103705","5"
"793442836045848577","2016-11-01","rt armandodko trump white aa latino","LeChatNoire4","buyarepublicantoday trump make russia great again generat american","FL","11237","675713","17"
"793442837081706496","2016-11-01","realdonaldtrump an impeach pesid back in the whitehous with sex crime and their crime togeth how is this possibl","PROUDUSABORN","with everi advers is the seed to a greater advantag everi breath gift love countri god famili music","WI","395","3099","0"
"793442834183360512","2016-11-01","rt realdonaldtrump look way crook hillari handl email case total mess she unfit presid","Theresa_Cali","nativ california chick nt get suck liber cesspool god famili america cours rescu pup trump list block","CA","5938","62210","18317"
"793442835039006721","2016-11-01","fallontonight whoopigoldberg look trump support what think zoelisterjon lecra","jmelo68","cajungirl her famili countri teamga crawfish coffe nascar ford truck drew bree the beach life fucktrump resist","TX","1208","12808","0"
"793442838029537280","2016-11-01","hillari and putin go out dinner trump tower i wonder what will talk about fns oreillyfactor","FSBOHighlands","central florida","FL","121","12077","0"
"793442848892911616","2016-11-01","rt mitchellvii i m happi abc poll show trump one s still garbag he","NuncVideo","proud enemi liber fascist state born canada educ england most wa state resid i unfollow women swear against androgyni","WA","896","58742","295"
"793442848096002049","2016-11-01","rt realdonaldtrump look way crook hillari handl email case total mess she unfit presid","richjets","","FL","108","6669","18317"
"793442844086247424","2016-11-01","rt usaneedstrump clinton i dont think this eagl soar uncertainti zone throught finish line tuesd","lisam02184","eye wide open maga kag protectourconstitut backtheblu militari potus blexit walkaway cancerfight twitterphilanthropi","FL","7249","240088","448"
"793442850654466048","2016-11-01","rt power video father kayla mueller brutal rape murder isi endors donald trump","LynnStefie","what parasit atlas shrug texan capitalist proisrael leo vet buildthewal maga southern momma","TX","3000","54821","53"
"793442847471042560","2016-11-01","rt lindasuhl how mani time i told hillari clinton hate ordinari work american believ now wikileak hillaryh","PamG61802904","christian marri pro life maga corgi mom","AL","961","21829","608"
"793442848439934980","2016-11-01","rt foxandfriend tgowdysc comey nt tell clinton set server lie i nt know s respons ht","LiliWeegs","","NH","234","18876","3264"
"793442850746855425","2016-11-01","hillaryclinton us uranium sold russia watch yes time investig trump smh lose peac","elkins32tx","","NY","17","6","0"
"793442843473817601","2016-11-01","rt cnbc fbi s comey oppos name russian cite elect time sourc","NewsOfMideast","news middl east also tweet polit work expos truth trump i support elizabeth warren joe biden presid","OK","3206","454511","210"
"793442847945007106","2016-11-01","rt whoa it sound like chris matthew just endors trump video","Cabbiejoe1","he say new presid stuff s get better stuff get better everyday the postman","FL","519","10523","44"
"793442843331207168","2016-11-01","two great articl one day so thank nro vdhanson richlowri","MichPAnders","writer song fail novel proud conserv","MN","233","4994","0"
"793442845508108288","2016-11-01","rt jilevin mainstream media ignor lawsuit against trump focus clinton email","beckywtheokhair","devo publictheaterni sheher","NY","516","10343","216"
"793442854374875136","2016-11-01","rt kellyalfarobeck thank trump warrior selfless fight everi day you ve taken world","Jb78679244","","FL","118","1964","1743"
